runName,projectID,lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,subsampleClass,subsampleDateTime,runID,runDate,replicate,metadataID,prefix,suffix,comments,substrate,antibiotics,FID_RT,TCD_RT,CH4area,CO2area,CH4ppm,CO2ppm,CH4original_umolL,CO2original_umolL
1_20021201,antibioticTrial-4Feb2020,NA,NA,2/12/20,2/12/20 0:00,NA,NA,NA,air,2/12/20 0:00,run20021201,2/12/20,1,gc180508,1,20021201,NA,NA,NA,NA,5.047,0,6534.87061,0,498.632781708112,0,20.5776076496173
2_20021201,antibioticTrial-4Feb2020,NA,NA,2/12/20,2/12/20 0:00,NA,NA,NA,standard034,2/12/20 0:00,run20021201,2/12/20,1,gc180508,2,20021201,NA,NA,NA,3.452,5.038,2644.46216,3285.21606,38.6028575576111,160.942014546052,0,0
3_20021201,antibioticTrial-4Feb2020,NA,NA,2/12/20,2/12/20 0:00,NA,NA,NA,standard035,2/12/20 0:00,run20021201,2/12/20,1,gc180508,3,20021201,NA,NA,NA,3.455,5.041,1530.88281,9495.63672,27.7243451964697,806.303447524984,0,0
4_20021201,antibioticTrial-4Feb2020,NA,NA,2/12/20,2/12/20 0:00,NA,NA,NA,standard036,2/12/20 0:00,run20021201,2/12/20,1,gc180508,4,20021201,NA,NA,NA,3.45,5.032,51864.9,50269.5,519.435356349219,5043.35602013894,0,0
5_20021201,antibioticTrial-4Feb2020,NA,NA,2/12/20,2/12/20 0:00,NA,NA,NA,standard037,2/12/20 0:00,run20021201,2/12/20,1,gc180508,5,20021201,NA,NA,NA,3.446,5.024,300326,83117.8,2946.64195605206,8456.81657611388,0,0
6_20021201,antibioticTrial-4Feb2020,NA,NA,2/12/20,2/12/20 0:00,NA,NA,NA,standard038,2/12/20 0:00,run20021201,2/12/20,1,gc180508,6,20021201,NA,NA,NA,3.422,5.012,4694860,147995,45876.6697447825,15198.589002148,0,0
7_20021201,antibioticTrial-4Feb2020,NA,NA,2/12/20,2/12/20 0:00,NA,NA,NA,air,2/12/20 0:00,run20021201,2/12/20,2,gc180508,7,20021201,NA,NA,NA,NA,5.033,0,4980.62646,0,337.122106867107,0,13.9123753985043
8_20021201,antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/12/20 14:20,run20021201,2/12/20,1,gc180508,8,20021201,NA,control,control,3.444,5.019,59142.9,66606.8,590.53384875965,6741.06120248108,24.3701864164797,278.190519467117
9_20021201,antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/12/20 14:20,run20021201,2/12/20,2,gc180508,9,20021201,NA,control,control,3.443,5.02,41716.3,62424.9,420.294086759153,6306.49531325602,17.3447216710409,260.256828192854
10_20021201,antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/12/20 14:20,run20021201,2/12/20,3,gc180508,10,20021201,NA,control,control,3.441,5.017,138908,62810.4,1369.7559368288,6346.55489150903,56.5271704504511,261.910009279496
